country,steering_rule,notes
AFGHANISTAN,Left,
ALGERIA,Left,
AMERICAN SAMOA,Right,
ANGOLA,Left,
ANTIGUA and BARBUDA,Right,
ARGENTINA,Left,
ARMENIA,Left,
AUSTRALIA,Right,
AUSTRIA,Left,
AZERBAIJAN,Left,
BAHAMAS,Right,
BAHRAIN,Left,
BANGLADESH,Right,
BARBADOS,Right,
BELARUS,Unknown,
BELGIUM,Left,
BELIZE,Right,
BENIN,Left,
BERMUDA,Right,
BHUTAN,Right,
BOLIVIA,Left,
BOTSWANA,Right,
BRAZIL,Left,
BRITISH ANGUILLA,Right,
BRITISH VIRGIN ISLANDS,Right,
BRUNEI,Right,
BULGARIA,Left,
BURKINA FASO,Left,
BURUNDI,Left,
CAMBODIA,Both Right and Left,
CAMEROUN,Left,
CANADA,Left,
CANARY ISLANDS,Left,
CAPE VERDE,Left,
CAYMAN ISLANDS,Right,
CENTRAL AFRICA,Left,
CHAD,Left,
CHILE,Left,
CHINA,Both Right and Left,
COLOMBIA,Left,
CONGO,Left,
COOK ISLANDS,Right,
COSTA RICA,Left,
COTE D'IVIRE,Left,
CROATIA,Left,
CUBA,Left,
CYPRUS,Right,
CZECH,Left,
Commonwealth of DOMINICA,Right,
D.R. SAO TOME and PRINCIPE,Unknown,
DENMARK,Left,
DJIBOUTI,Left,
DOMINICAN Republic,Left,
ECUADOR,Left,
EGYPT,Left,
EL SALVADOR,Left,
EQUATORIAL GUINEA,Left,
ESTONIA,Left,
ETHIOPIA,Left,
East TIMOR,Right,
FIJI,Right,
FINLAND,Left,
FRANCE,Left,
FRENCH GUIANA,Left,
FRENCH POLYNESIA,Left,
FRENCH West INDIES,Left,
GABON,Left,
GAMBIA,Left,
GAZA Strip,Left,
GEORGIA,Left,
GERMANY,Left,
GHANA,Left,
GIBRALTAR (Br.),Left,
GREECE,Left,
GREENLAND,Left,
GRENADA,Right,
GUAM,Left,
GUATEMALA,Left,
GUINEA,Left,
GUINEA BISSAU,Unknown,
GUYANA,Right,
HAITI,Left,
HONDURAS,Left,
HONG KONG,Right,
HUNGARY,Left,
ICELAND,Left,
INDIA,Right,
INDONESIA,Right,
IRAN,Unknown,
IRAQ,Left,
IRELAND,Right,
ISRAEL,Left,
ITALY,Left,
JAMAICA,Right,
JORDAN,Left,
KAZAKHSTAN,Left,
KENYA,Right,
KIRIBATI,Right,
KUWAIT,Left,
KYRGYZ,Left,
LAOS,Left,
LATVIA,Left,
LEBANON,Left,
LESOTHO,Right,
LIBERIA,Left,
LIBYA,Left,
LITHUANIA,Left,
LUXEMBOURG,Left,
MACAO,Right,
MADAGASCAR,Left,
MAKEDONIA,Left,
MALAWI,Right,
MALAYSIA,Right,
MALDIVE,Right,
MALI,Left,
MALTA,Right,
MARSHALL ISLANDS,Left,
MAURITANIA,Left,
MAURITIUS,Right,
MEXICO,Left,
MICRONESIA,Left,
MOLDOVA,Unknown,
MONGOLIA,Left,
MONSTSERRAT,Right,
MOROCCO,Left,
MOZAMBIQUE,Right,
MYANMAR,Right,
NAMIBIA,Right,
NAURU,Right,
NEPAL,Right,
NETHERLANDS,Left,
NETHERLANDS ANTILLES,Left,
NEW CALEDONIA,Left,
NEW ZEALAND,Right,
NICARAGUA,Left,
NIGER,Left,
NIGERIA,Left,
NIUE ISLANDS,Right,
NORWAY,Left,
Northern MARIANA ISLAND,Left,
OMAN,Left,
Other AUSTRALIAN Territories,Right,
PAKISTAN,Right,
PALAU,Left,
PANAMA,Left,
PAPUA NEW GUINEA,Right,
PARAGUAY,Left,
PERU,Left,
PHILIPPINES,Left,
POLAND,Left,
PORTUGAL,Left,
PUERTO RICO,Left,
QATAR,Left,
REUNION,Left,
ROMANIA,Left,
RUSSIA,Left,
RWANDA,Left,
Republic of KOREA,Left,
SAMOA,Right,
SAUDI ARABIA,Left,
SENEGAL,Left,
SERBIA and MONTENEGRO,Left,
SEYCHELLES,Right,
SIERRA LEONE,Left,
SINGAPORE,Right,
SLOVAK,Left,
SLOVENIA,Left,
SOLOMON ISLANDS,Right,
SOMALIA,Left,
SOUTH SUDAN,Left,
SPAIN,Left,
SRI LANKA,Right,
SUDAN,Left,
SURINAM,Right,
SWAZILAND,Right,
SWEDEN,Left,
SWITZERLAND,Left,
SYRIA,Left,
Saint.VINCENT,Right,
South AFRICA,Right,
St. HELENA ISLAND and Dependencies,Right,
St.CHRISTOPHER and NEVIS,Right,
St.LUCIA,Right,
TADZHIKISTAN,Left,
TAIWAN,Left,
TANZANIA,Right,
THAILAND,Right,
TOGO,Left,
TONGA,Right,
TOTAL,Unknown,
TRINIDAD and TOBAGO,Right,
TUNISIA,Left,
TURKEY,Left,
TURKMENISTAN,Left,
TURKS, and CAICOS ISLANDS,Right
"TURKS, and CAICOS ISLANDS",Unknown,
TUVALU,Right,
The Democratic Republic of The CONG,Left,
The Democratic Republic of The CONGO,Left,
U.A.E.,Left,
U.K.,Right,
U.S.A.,Left,
UGANDA,Right,
UKRAINE,Left,
UNITED STATES VIRGIN ISLANDS,Right,
URUGUAY,Left,
UZBEKISTAN,Left,
VANUATU,Left,
VENEZUELA,Left,
VIET NAM,Left,
West SAHARA,Left,
YEMEN,Left,
YUGOSLAVIA,Left,
ZAMBIA,Right,
ZIMBABWE,Right,
